Programar servidor1,joacom,En progreso,Alta,18/06/2024,Programar el servidor de la NASA
Crear robot,luchod,En progreso,Baja,11/06/2024,Crear robot para automatizar tareas
Superman,joacom,Completada,Media,21/01/2020,fritas
Asistir a Lógica,tombo,Pendiente,Alta,25/09/2025,Asistir a logica porque si no recurso
Instalación de Software de Gestión,luchod,Completada,Baja,05/06/2024,Instalar el nuevo software de gestión para el departamento de ventas
Auditoría de Seguridad,rociop,En progreso,Alta,30/06/2024,Realizar una auditoría completa de seguridad en la red interna
Respaldo de Datos Mensual,tombo,Pendiente,Media,12/06/2024,Realizar el respaldo mensual de todos los datos críticos
Implementación de VPN,joacom,Pendiente,Alta,22/06/2024,Implementar la nueva VPN para acceso remoto seguro
Configuración de Redes,tombo,Completada,Alta,10/06/2024,Configurar las nuevas redes para el edificio de oficinas
Nuevas Estaciones de Trabajo,joacom,Completada,Media,20/06/2024,Configurar las nuevas estaciones de trabajo para el equipo de desarrollo
Configuración de Firewalls,joacom,En progreso,Alta,08/06/2024,Configurar y probar los nuevos firewalls de la red
Tarea SIST1,tombo,Pendiente,Alta,21/01/2005,ADSSD
